"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","CPI","TOT","AGRWTH","M","1979-05",2.877846,
"CHE","CPI","TOT","AGRWTH","M","1979-06",4.058605,
"CHE","CPI","TOT","AGRWTH","M","1979-07",4.356077,
"CHE","CPI","TOT","AGRWTH","M","1979-08",4.054585,
"CHE","CPI","TOT","AGRWTH","M","1979-09",4.861504,
"CHE","CPI","TOT","AGRWTH","M","1979-10",4.968934,
"CHE","CPI","TOT","AGRWTH","M","1979-11",5.159566,
"CHE","CPI","TOT","AGRWTH","M","1979-12",5.147624,
"CHE","CPI","TOT","AGRWTH","M","1980-01",5.028523,
"CHE","CPI","TOT","AGRWTH","M","1980-02",4.096897,
"CHE","CPI","TOT","AGRWTH","M","1980-03",3.88426,
"CHE","CPI","TOT","AGRWTH","M","1980-04",4.066862,
"CHE","CPI","TOT","AGRWTH","M","1980-05",4.339211,
"CHE","CPI","TOT","AGRWTH","M","1980-06",3.236565,
"CHE","CPI","TOT","AGRWTH","M","1980-07",3.322357,
"CHE","CPI","TOT","AGRWTH","M","1980-08",4.183833,
"CHE","CPI","TOT","AGRWTH","M","1980-09",3.78502,
"CHE","CPI","TOT","AGRWTH","M","1980-10",3.693772,
"CHE","CPI","TOT","AGRWTH","M","1980-11",4.24506,
"CHE","CPI","TOT","AGRWTH","M","1980-12",4.425728,
"CHE","CPI","TOT","AGRWTH","M","1981-01",5.165537,
"CHE","CPI","TOT","AGRWTH","M","1981-02",5.998964,
"CHE","CPI","TOT","AGRWTH","M","1981-03",6.354893,
"CHE","CPI","TOT","AGRWTH","M","1981-04",5.674773,
"CHE","CPI","TOT","AGRWTH","M","1981-05",5.915771,
"CHE","CPI","TOT","AGRWTH","M","1981-06",6.359311,
"CHE","CPI","TOT","AGRWTH","M","1981-07",6.518258,
"CHE","CPI","TOT","AGRWTH","M","1981-08",7.481803,
"CHE","CPI","TOT","AGRWTH","M","1981-09",7.474973,
"CHE","CPI","TOT","AGRWTH","M","1981-10",7.305727,
"CHE","CPI","TOT","AGRWTH","M","1981-11",6.967732,
"CHE","CPI","TOT","AGRWTH","M","1981-12",6.583004,
"CHE","CPI","TOT","AGRWTH","M","1982-01",6.071164,
"CHE","CPI","TOT","AGRWTH","M","1982-02",5.216714,
"CHE","CPI","TOT","AGRWTH","M","1982-03",4.744637,
"CHE","CPI","TOT","AGRWTH","M","1982-04",5.544831,
"CHE","CPI","TOT","AGRWTH","M","1982-05",5.933403,
"CHE","CPI","TOT","AGRWTH","M","1982-06",6.152649,
"CHE","CPI","TOT","AGRWTH","M","1982-07",6.034534,
"CHE","CPI","TOT","AGRWTH","M","1982-08",5.17714,
"CHE","CPI","TOT","AGRWTH","M","1982-09",5.512515,
"CHE","CPI","TOT","AGRWTH","M","1982-10",6.127937,
"CHE","CPI","TOT","AGRWTH","M","1982-11",5.838957,
"CHE","CPI","TOT","AGRWTH","M","1982-12",5.499606,
"CHE","CPI","TOT","AGRWTH","M","1983-01",4.809211,
"CHE","CPI","TOT","AGRWTH","M","1983-02",4.77749,
"CHE","CPI","TOT","AGRWTH","M","1983-03",4.802484,
"CHE","CPI","TOT","AGRWTH","M","1983-04",4.515396,
"CHE","CPI","TOT","AGRWTH","M","1983-05",3.312138,
"CHE","CPI","TOT","AGRWTH","M","1983-06",2.807465,
"CHE","CPI","TOT","AGRWTH","M","1983-07",2.190799,
"CHE","CPI","TOT","AGRWTH","M","1983-08",1.722174,
"CHE","CPI","TOT","AGRWTH","M","1983-09",1.4384,
"CHE","CPI","TOT","AGRWTH","M","1983-10",1.4363,
"CHE","CPI","TOT","AGRWTH","M","1983-11",1.752163,
"CHE","CPI","TOT","AGRWTH","M","1983-12",2.13651,
"CHE","CPI","TOT","AGRWTH","M","1984-01",2.656738,
"CHE","CPI","TOT","AGRWTH","M","1984-02",2.884896,
